sensor_id,April 2020,April 2021,August 2019,August 2020,August 2021,December 2019,December 2020,February 2020,February 2021,January 2020,January 2021,July 2020,July 2021,June 2020,June 2021,March 2020,March 2021,May 2020,May 2021,November 2019,November 2020,October 2019,October 2020,September 2019,September 2020
3,127245.0,337429.0,981893.0,92864.0,105047.0,911297.0,351662.0,741496.0,104829.0,761665.0,259570.0,193613.0,228182.0,352121.0,216026.0,560572.0,210303.0,221395.0,280760.0,901523.0,425215.0,919197.0,200440.0,869674.0,114151.0
4,130659.0,743653.0,1064689.0,97813.0,213065.0,1244392.0,796734.0,905988.0,456419.0,1030896.0,558664.0,222709.0,483035.0,394408.0,415985.0,634135.0,650570.0,245937.0,611918.0,1074747.0,490630.0,1047186.0,198010.0,971314.0,112765.0
8,63684.0,112938.0,145010.0,68999.0,87220.0,146969.0,106220.0,135257.0,91493.0,138652.0,95228.0,75753.0,83554.0,89115.0,81580.0,108630.0,85345.0,86192.0,114358.0,137905.0,61169.0,54501.0,91349.0,140774.0,82252.0
11,26293.0,38862.0,31232.0,23613.0,28847.0,54072.0,42354.0,37750.0,30952.0,44573.0,37281.0,24032.0,22430.0,26930.0,23332.0,33571.0,31651.0,27802.0,27389.0,38037.0,38577.0,39842.0,32443.0,33821.0,31762.0
27,34092.0,66367.0,110089.0,32909.0,52907.0,86444.0,64809.0,64092.0,51909.0,101418.0,58418.0,42425.0,61168.0,59923.0,53817.0,44171.0,63883.0,48565.0,68715.0,91938.0,53226.0,116007.0,43482.0,105748.0,37112.0
28,75387.0,563047.0,815103.0,69231.0,101841.0,732686.0,303045.0,701412.0,317626.0,893317.0,407448.0,104101.0,408728.0,141403.0,246249.0,420725.0,458441.0,104748.0,411164.0,774709.0,167861.0,784497.0,107007.0,772680.0,81766.0
29,41299.0,121408.0,245551.0,34641.0,54388.0,279113.0,45554.0,190047.0,23016.0,279641.0,20048.0,42898.0,91690.0,65368.0,51259.0,244703.0,150365.0,63847.0,96813.0,323731.0,75898.0,306072.0,57310.0,239907.0,45078.0
30,47556.0,262827.0,409135.0,35315.0,61402.0,367248.0,220907.0,299653.0,156380.0,375715.0,195345.0,71298.0,153632.0,128378.0,138115.0,215228.0,220463.0,66293.0,213839.0,388344.0,158236.0,430807.0,63195.0,390685.0,35982.0
31,42345.0,126872.0,165319.0,40863.0,42118.0,187154.0,159977.0,161819.0,96964.0,184163.0,146835.0,65226.0,93259.0,109561.0,85601.0,125182.0,120504.0,59672.0,100769.0,186602.0,181951.0,185840.0,74495.0,165207.0,45843.0
34,20090.0,45860.0,136747.0,15199.0,24083.0,94563.0,25311.0,106629.0,28641.0,112223.0,22884.0,19912.0,35886.0,31905.0,29114.0,70805.0,41380.0,25924.0,49260.0,100883.0,20131.0,110627.0,19772.0,112127.0,18816.0
36,30495.0,134949.0,240292.0,23576.0,43193.0,218358.0,85227.0,226383.0,72164.0,204435.0,79164.0,47652.0,89168.0,65389.0,70318.0,155739.0,124929.0,41718.0,137303.0,241665.0,62518.0,254897.0,33480.0,223170.0,24870.0
37,23406.0,93506.0,102369.0,18095.0,32445.0,112671.0,87371.0,94214.0,62600.0,105248.0,81216.0,27415.0,72488.0,54442.0,61683.0,70558.0,82249.0,30019.0,77513.0,115676.0,85425.0,111083.0,40968.0,98161.0,24287.0
39,16198.0,53648.0,132679.0,7829.0,22503.0,165152.0,36503.0,189597.0,39369.0,165417.0,32884.0,11663.0,36629.0,32373.0,32377.0,118690.0,58242.0,36210.0,56127.0,17999.0,26345.0,234741.0,9440.0,188830.0,9415.0
40,30592.0,120968.0,266445.0,25668.0,39229.0,198684.0,74704.0,216396.0,72257.0,209226.0,67863.0,40308.0,72267.0,59936.0,61187.0,132254.0,116655.0,40244.0,121297.0,216955.0,60713.0,252753.0,35978.0,232039.0,26677.0
42,17733.0,74600.0,267000.0,17982.0,31747.0,118286.0,46734.0,141453.0,57148.0,107938.0,38402.0,28494.0,42056.0,19788.0,35823.0,175623.0,102075.0,23259.0,76605.0,162983.0,55406.0,199612.0,36144.0,208020.0,21933.0
43,11460.0,85887.0,217817.0,13801.0,26917.0,50258.0,22905.0,99105.0,38200.0,64079.0,23558.0,20604.0,42580.0,21835.0,36669.0,143196.0,101222.0,20132.0,105440.0,85326.0,27380.0,134082.0,22574.0,149689.0,17839.0
44,8605.0,37608.0,89111.0,8948.0,17444.0,27639.0,12693.0,45734.0,16159.0,31950.0,12888.0,13417.0,19963.0,15681.0,19347.0,47261.0,40833.0,13661.0,41349.0,47221.0,15719.0,63950.0,12493.0,66402.0,9429.0
45,82847.0,407149.0,684434.0,49176.0,100076.0,765819.0,347148.0,576576.0,199341.0,652341.0,235664.0,109375.0,238434.0,194301.0,198395.0,409033.0,317351.0,133956.0,309709.0,674366.0,212730.0,684616.0,90172.0,635022.0,54844.0
46,12151.0,29498.0,76900.0,12170.0,15812.0,40236.0,18148.0,56946.0,18163.0,42742.0,17925.0,17243.0,20550.0,18802.0,17181.0,59874.0,33885.0,15525.0,33566.0,66651.0,11847.0,77567.0,2098.0,77615.0,12864.0
47,126345.0,451467.0,713839.0,124483.0,181465.0,802147.0,477188.0,633844.0,293808.0,660678.0,361790.0,205960.0,319191.0,302881.0,295397.0,475265.0,407009.0,212147.0,395912.0,730207.0,366156.0,737876.0,190966.0,672015.0,135639.0
48,76767.0,114884.0,206594.0,49919.0,67532.0,207354.0,110180.0,186453.0,82869.0,192425.0,95516.0,63127.0,94431.0,99575.0,89152.0,144168.0,103344.0,127062.0,108699.0,205257.0,87515.0,194462.0,70149.0,179613.0,50904.0
49,63224.0,71901.0,137175.0,63432.0,59596.0,132729.0,73107.0,95164.0,61117.0,101256.0,65809.0,66832.0,71023.0,78411.0,66715.0,85517.0,64460.0,80665.0,72130.0,135467.0,71529.0,95136.0,73590.0,92844.0,65634.0
50,39297.0,156119.0,193312.0,37806.0,68052.0,223798.0,190608.0,190782.0,117370.0,205698.0,153786.0,66070.0,114385.0,111616.0,117479.0,139692.0,155922.0,69462.0,139313.0,205259.0,149033.0,205187.0,78666.0,184287.0,49342.0
51,37375.0,68648.0,99287.0,21362.0,42525.0,97110.0,66869.0,91210.0,59700.0,92107.0,59547.0,33851.0,55216.0,54206.0,52136.0,80953.0,72407.0,48459.0,65852.0,94936.0,56902.0,101169.0,50224.0,87344.0,43134.0
52,38453.0,178893.0,325035.0,26505.0,53710.0,310402.0,162919.0,266040.0,118243.0,260967.0,135258.0,56288.0,113701.0,96786.0,103409.0,202616.0,163972.0,59087.0,163011.0,328209.0,114307.0,332227.0,46740.0,313040.0,28002.0
56,45277.0,155287.0,254487.0,31061.0,60292.0,250344.0,131372.0,233456.0,104729.0,226450.0,122563.0,60620.0,107265.0,96665.0,97445.0,164851.0,141669.0,65878.0,142955.0,196484.0,96988.0,234400.0,34394.0,233349.0,30183.0
57,24203.0,369395.0,858475.0,22816.0,66464.0,381787.0,79401.0,641949.0,39684.0,437673.0,75795.0,39307.0,172814.0,61441.0,105428.0,336195.0,219064.0,37746.0,327075.0,545572.0,58686.0,501537.0,27860.0,484880.0,19613.0
58,83204.0,335977.0,628506.0,60270.0,53182.0,545728.0,221883.0,550090.0,196819.0,526985.0,189994.0,105365.0,149444.0,118379.0,157162.0,371158.0,303799.0,124506.0,311382.0,598612.0,156410.0,632112.0,86124.0,560959.0,70022.0
59,17323.0,253153.0,141743.0,12571.0,103895.0,83730.0,169755.0,95623.0,153477.0,76480.0,154039.0,17039.0,143464.0,20349.0,120728.0,106453.0,286223.0,16012.0,241754.0,96644.0,106571.0,134032.0,19006.0,113049.0,14546.0
61,50829.0,178608.0,510872.0,44350.0,82287.0,266536.0,125184.0,320497.0,116233.0,235553.0,112517.0,72322.0,122913.0,94726.0,98508.0,309911.0,197564.0,77503.0,172760.0,323670.0,105565.0,459406.0,63489.0,412081.0,46639.0
